methods  fields   package/class name
4        4        com.google.android.gms.auth.api.signin.internal.zzm
3        3        com.google.android.gms.auth.api.signin.internal.zzm$zza
3        1        com.google.android.gms.auth.api.signin.internal.zzm$zzb
1        0        com.google.android.gms.auth.api.signin.internal.zzn
5        1        com.google.android.gms.auth.api.signin.internal.zzo
6        0        com.google.android.gms.auth.api.signin.internal.zzp
20       4        com.google.android.gms.auth.api.signin.internal.zzq
6        0        com.google.android.gms.auth.api.signin.zza
6        0        com.google.android.gms.auth.api.signin.zzb
6        0        com.google.android.gms.auth.api.signin.zzc
9        6        com.google.android.gms.auth.api.signin.zzd
6        0        com.google.android.gms.auth.api.signin.zze
3        1        com.google.android.gms.auth.api.signin.zzg
3        1        com.google.android.gms.auth.api.signin.zzg$zza
42       75       com.google.android.gms.auth.firstparty
42       75       com.google.android.gms.auth.firstparty.shared
6        0        com.google.android.gms.auth.firstparty.shared.zza
6        0        com.google.android.gms.auth.firstparty.shared.zzb
6        0        com.google.android.gms.auth.firstparty.shared.zzc
9        52       com.google.android.gms.auth.firstparty.shared.zzd
6        0        com.google.android.gms.auth.zza
6        0        com.google.android.gms.auth.zzb
6        0        com.google.android.gms.auth.zzc
16       12       com.google.android.gms.auth.zzd
3        3        com.google.android.gms.auth.zzd$1
3        2        com.google.android.gms.auth.zzd$2
3        2        com.google.android.gms.auth.zzd$3
1        0        com.google.android.gms.auth.zzd$zza
6        0        com.google.android.gms.auth.zze
13       304      com.google.android.gms.base
1113     869      com.google.android.gms.cast
55       18       com.google.android.gms.cast.games
302      97       com.google.android.gms.cast.internal
6        0        com.google.android.gms.cast.internal.zza
5        0        com.google.android.gms.cast.internal.zzb
5        4        com.google.android.gms.cast.internal.zzc
3        1        com.google.android.gms.cast.internal.zzc$zza
9        3        com.google.android.gms.cast.internal.zzd
56       24       com.google.android.gms.cast.internal.zze
7        5        com.google.android.gms.cast.internal.zze$zza
19       2        com.google.android.gms.cast.internal.zze$zzb
2        3        com.google.android.gms.cast.internal.zze$zzb$1
2        3        com.google.android.gms.cast.internal.zze$zzb$2
2        3        com.google.android.gms.cast.internal.zze$zzb$3
2        4        com.google.android.gms.cast.internal.zze$zzb$4
9        1        com.google.android.gms.cast.internal.zzf
